"epoch","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - _step","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - _step__MIN","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - _step__MAX","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - epoch_val_loss","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - epoch_val_loss__MIN","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - epoch_val_loss__MAX","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - loss_per_epoch","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - loss_per_epoch__MIN","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - loss_per_epoch__MAX"
"0","21.5","20","23","393899.8697916667","393899.8697916667","393899.8697916667","386998.41015625","386998.41015625","386998.41015625"
"1","44.5","44","45","341624.6979166667","341624.6979166667","341624.6979166667","339048.25","339048.25","339048.25"
"2","66.5","66","67","313913.078125","313913.078125","313913.078125","303325.22421875","303325.22421875","303325.22421875"
"3","88.5","88","89","287017.671875","287017.671875","287017.671875","268187.003125","268187.003125","268187.003125"
"4","110.5","110","111","263069.4791666667","263069.4791666667","263069.4791666667","254612.9953125","254612.9953125","254612.9953125"
"5","132.5","132","133","246116.24479166666","246116.24479166666","246116.24479166666","235570.24609375","235570.24609375","235570.24609375"
"6","154.5","154","155","253950.9140625","253950.9140625","253950.9140625","225955.425","225955.425","225955.425"
"7","176.5","176","177","232577.40625","232577.40625","232577.40625","224172.5421875","224172.5421875","224172.5421875"
"8","198.5","198","199","238933.94270833334","238933.94270833334","238933.94270833334","212860.16640625","212860.16640625","212860.16640625"
"9","220.5","220","221","238355.14583333334","238355.14583333334","238355.14583333334","205963.53359375","205963.53359375","205963.53359375"
"10","243.5","242","245","218982.53125","218982.53125","218982.53125","196351.566015625","196351.566015625","196351.566015625"
"11","266.5","266","267","206687.5078125","206687.5078125","206687.5078125","187089.323828125","187089.323828125","187089.323828125"
"12","288.5","288","289","203273.22916666666","203273.22916666666","203273.22916666666","173350.544140625","173350.544140625","173350.544140625"
"13","310.5","310","311","187457.05208333334","187457.05208333334","187457.05208333334","160996.615234375","160996.615234375","160996.615234375"
"14","332.5","332","333","188271.40104166666","188271.40104166666","188271.40104166666","155819.62421875","155819.62421875","155819.62421875"
"15","354.5","354","355","192286.01302083334","192286.01302083334","192286.01302083334","150976.5734375","150976.5734375","150976.5734375"
"16","376.5","376","377","173725.4453125","173725.4453125","173725.4453125","140558.655078125","140558.655078125","140558.655078125"
"17","398.5","398","399","165327.23697916666","165327.23697916666","165327.23697916666","131045.9453125","131045.9453125","131045.9453125"
"18","420.5","420","421","173520.91145833334","173520.91145833334","173520.91145833334","127442.840234375","127442.840234375","127442.840234375"
"19","442.5","442","443","151550.18229166666","151550.18229166666","151550.18229166666","125590.548046875","125590.548046875","125590.548046875"
"20","465.5","464","467","162018.7890625","162018.7890625","162018.7890625","125670.8625","125670.8625","125670.8625"
"21","488.5","488","489","151927.21354166666","151927.21354166666","151927.21354166666","120013.0375","120013.0375","120013.0375"
"22","510.5","510","511","151795.90885416666","151795.90885416666","151795.90885416666","110171.865625","110171.865625","110171.865625"
"23","532.5","532","533","148176.28125","148176.28125","148176.28125","105568.796484375","105568.796484375","105568.796484375"
"24","554.5","554","555","138025.30989583334","138025.30989583334","138025.30989583334","104357.31796875","104357.31796875","104357.31796875"
"25","576.5","576","577","135730.46614583334","135730.46614583334","135730.46614583334","99182.44140625","99182.44140625","99182.44140625"
"26","598.5","598","599","146391.89583333334","146391.89583333334","146391.89583333334","98690.3654296875","98690.3654296875","98690.3654296875"
"27","620.5","620","621","132491.02864583334","132491.02864583334","132491.02864583334","94796.3078125","94796.3078125","94796.3078125"
