"epoch","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - _step","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - _step__MIN","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - _step__MAX","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - epoch_val_loss","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - epoch_val_loss__MIN","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - epoch_val_loss__MAX","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - loss_per_epoch","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - loss_per_epoch__MIN","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - loss_per_epoch__MAX"
"0","147.5","146","149","3074.9312169692093","3074.9312169692093","3074.9312169692093","2847.344243297838","2847.344243297838","2847.344243297838"
"1","296.5","296","297","2811.4548483455883","2811.4548483455883","2811.4548483455883","2709.1331762026434","2709.1331762026434","2709.1331762026434"
"2","444.5","444","445","2895.820707433364","2895.820707433364","2895.820707433364","2578.583384056614","2578.583384056614","2578.583384056614"
"3","592.5","592","593","2421.4737117991726","2421.4737117991726","2421.4737117991726","2413.7047160945526","2413.7047160945526","2413.7047160945526"
"4","740.5","740","741","2381.8931884765625","2381.8931884765625","2381.8931884765625","2049.509680343001","2049.509680343001","2049.509680343001"
"5","888.5","888","889","2075.8717041015625","2075.8717041015625","2075.8717041015625","1860.1510808239245","1860.1510808239245","1860.1510808239245"
"6","1036.5","1036","1037","1795.994571461397","1795.994571461397","1795.994571461397","1765.095033619502","1765.095033619502","1765.095033619502"
"7","1184.5","1184","1185","1888.0106703814338","1888.0106703814338","1888.0106703814338","1685.7054439178885","1685.7054439178885","1685.7054439178885"
"8","1332.5","1332","1333","1785.3112362132354","1785.3112362132354","1785.3112362132354","1600.4432653139716","1600.4432653139716","1600.4432653139716"
"9","1480.5","1480","1481","1641.5654260971967","1641.5654260971967","1641.5654260971967","1526.4364243598834","1526.4364243598834","1526.4364243598834"
"10","1629.5","1628","1631","1616.818079331342","1616.818079331342","1616.818079331342","1406.147759842546","1406.147759842546","1406.147759842546"
"11","1778.5","1778","1779","1861.992000804228","1861.992000804228","1861.992000804228","1486.4533478201251","1486.4533478201251","1486.4533478201251"
"12","1926.5","1926","1927","1574.0824225930608","1574.0824225930608","1574.0824225930608","1482.019544418544","1482.019544418544","1482.019544418544"
"13","2074.5","2074","2075","1489.7352259018842","1489.7352259018842","1489.7352259018842","1369.3950130514902","1369.3950130514902","1369.3950130514902"
"14","2222.5","2222","2223","1493.9820233513328","1493.9820233513328","1493.9820233513328","1292.8564068519906","1292.8564068519906","1292.8564068519906"
"15","2370.5","2370","2371","1475.0821784524358","1475.0821784524358","1475.0821784524358","1254.1747008023196","1254.1747008023196","1254.1747008023196"
"16","2518.5","2518","2519","1570.080623851103","1570.080623851103","1570.080623851103","1176.6083511979612","1176.6083511979612","1176.6083511979612"
"17","2666.5","2666","2667","1407.7368666704963","1407.7368666704963","1407.7368666704963","1149.9831672563944","1149.9831672563944","1149.9831672563944"
"18","2814.5","2814","2815","1367.7088766659008","1367.7088766659008","1367.7088766659008","1188.8756720137924","1188.8756720137924","1188.8756720137924"
"19","2962.5","2962","2963","1354.694081025965","1354.694081025965","1354.694081025965","1069.4356666460428","1069.4356666460428","1069.4356666460428"
"20","3111.5","3110","3113","1301.1270033892463","1301.1270033892463","1301.1270033892463","1051.7583739398276","1051.7583739398276","1051.7583739398276"
"21","3260.5","3260","3261","1217.6480605181525","1217.6480605181525","1217.6480605181525","994.9930062489967","994.9930062489967","994.9930062489967"
"22","3408.5","3408","3409","1172.596959731158","1172.596959731158","1172.596959731158","987.2253802573845","987.2253802573845","987.2253802573845"
"23","3556.5","3556","3557","1212.2618013269762","1212.2618013269762","1212.2618013269762","936.3931652748421","936.3931652748421","936.3931652748421"
"24","3704.5","3704","3705","1213.8834372127758","1213.8834372127758","1213.8834372127758","963.1169579910905","963.1169579910905","963.1169579910905"
"25","3852.5","3852","3853","1295.4587725471047","1295.4587725471047","1295.4587725471047","940.7477333382384","940.7477333382384","940.7477333382384"
"26","4000.5","4000","4001","1222.2005004882812","1222.2005004882812","1222.2005004882812","898.2400184526836","898.2400184526836","898.2400184526836"
"27","4148.5","4148","4149","1119.7199850643383","1119.7199850643383","1119.7199850643383","1032.4490678343054","1032.4490678343054","1032.4490678343054"
